,status,Fis code
501,Active,6958
502,,7736
503,,7525
504,,7377
505,,5131
506,,5182
507,,2092
508,Active,7181
509,,3279
510,,3468
511,Active,7624
512,,2561
513,,2707
514,Active,7178
515,,4079
516,,6010
517,,2252
518,,6112
519,,4073
520,,4075
521,Active,8409
522,,2686
523,Active,7136
524,,3746
525,,6459
526,,3673
527,Active,8433
528,,3807
529,,3631
530,,3960
531,,5481
532,,3702
533,,4110
534,,3548
535,,5504
536,Active,6753
537,,2808
538,,4228
539,,2312
540,,3634
541,,3547
542,,4658
543,,5462
544,,6004
545,,5316
546,,3303
547,,3422
548,,3042
549,,3509
550,,2587
551,,6635
552,Active,8019
553,,7712
554,Active,5519
555,,2875
556,,3141
557,,3485
558,,5276
559,,4629
560,,2335
561,,5231
562,,4786
563,Active,6165
564,,2340
565,,2268
566,,3772
567,Active,7831
568,,2651
569,,3693
570,,3726
571,,5042
572,,4993
573,Active,7847
574,Active,5721
575,Active,7845
576,,3178
577,,5701
578,Active,7802
579,,3329
580,,2362
581,,2536
582,,6719
583,,6184
584,,2919
585,,6935
586,,6933
587,,4429
588,,4872
589,,4873
590,,5248
591,,4446
592,Active,5524
593,,2541
594,,4305
595,Active,8361
596,Active,7304
597,,6466
598,,7014
599,,4272
600,,4876
601,,4419
602,,4874
603,,4875
604,Active,7809
605,Active,7806
606,,4254
607,,4877
608,,4878
609,,4458
610,,2542
611,,3154
612,,6069
613,,4497
614,,6285
615,Active,5166
616,,8088
617,,3749
618,,4008
619,,3059
620,,4298
621,,2131
622,,7208
623,,3689
624,,2298
625,,7206
626,,2662
627,,2914
628,,3460
629,,5366
630,,2767
631,,6238
632,,2744
633,,2442
634,,2915
635,,7079
636,,6655
637,Active,5792
638,,6931
639,,4426
640,,4473
641,,4248
642,,2544
643,,4964
644,,4290
645,,2984
646,,4282
647,,4257
648,,2018
649,,5985
650,Active,8367
651,Active,7160
652,,3407
653,,7563
654,Active,6114
655,,4379
656,,6676
657,,6464
658,,5469
659,,7824
660,,5903
661,,3186
662,,5030
663,,3932
664,,3182
665,,2731
666,,5132
667,,6485
668,,5285
669,,3412
670,Active,7147
671,,3455
672,,3968
673,,5325
674,,7614
675,,8100
676,Active,6760
677,Active,8334
678,,3727
679,,5995
680,Active,8496
681,,3474
682,,5873
683,,8177
684,,4161
685,,4676
686,,3732
687,,3520
688,,5058
689,,5060
690,,5745
691,Active,8405
692,,6040
693,,6574
694,,7661
695,,5463
696,,5144
697,,7106
698,,3957
699,,6296
700,,4881
701,,4162
702,Active,8209
703,,7493
704,Active,7865
705,,4229
706,,6449
707,,2869
708,Active,7451
709,,2040
710,,6538
711,,7226
712,,7199
713,Active,6315
714,,3511
715,Active,8365
716,Active,4599
717,,3787
718,,2954
719,,4011
720,,5374
721,,6241
722,,4745
723,,4070
724,,4788
725,,4787
726,,5486
727,,5286
728,Active,8418
729,,3940
730,,5443
731,,2093
732,Active,7617
733,,5429
734,,7721
735,,2433
736,,2834
737,,4940
738,,5633
739,,3128
740,,1967
741,Active,5494
742,,6658
743,Active,5168
744,,3197
745,Active,8478
746,,3459
747,,5108
748,,2049
749,,3062
750,,4230
751,,6694
752,,6695
753,Active,7060
754,,3295
755,,2784
756,,2458
757,,2396
758,,5683
759,,6299
760,,5740
761,,3262
762,,4334
763,,2621
764,,2380
765,Active,8212
766,,2616
767,,5287
768,,6297
769,Active,4972
770,,2873
771,Active,8355
772,,2832
773,,3929
774,,3662
775,,6159
776,,3166
777,,3415
778,Active,8286
779,,3184
780,,6166
781,Active,4325
782,Active,7121
